enrollment_id,student_id,course_id,instructor_id,term_id,dept_id,final_grade,gpa_points,credits_attempted,credits_earned
142,212,45,4,7,5,A,4.0,3,3
143,472,31,14,14,1,B,3.0,4,4
144,266,14,9,6,4,F,0.0,4,0
145,193,21,3,8,5,C,2.0,3,3
146,280,23,11,13,3,A,4.0,3,3
147,248,13,4,5,5,C,2.0,3,3
148,116,20,13,5,2,F,0.0,3,0
149,163,31,6,9,3,C,2.0,4,4
150,63,37,11,9,4,D,1.0,3,3
151,420,23,13,13,2,C,2.0,3,3
152,22,19,12,2,3,F,0.0,3,0
153,336,17,12,8,2,B,3.0,4,4
154,424,35,5,15,5,C,2.0,3,3
155,71,7,10,12,5,B,3.0,3,3
156,125,4,11,15,5,B,3.0,3,3
157,327,15,1,2,4,C,2.0,3,3
158,368,31,2,11,2,A,4.0,4,4
159,494,36,15,3,4,F,0.0,3,0
160,245,42,4,13,3,C,2.0,3,3
161,147,42,1,15,1,A,4.0,3,3
162,119,35,12,12,1,B,3.0,3,3
163,214,12,15,15,1,D,1.0,4,4
164,404,32,3,15,3,B,3.0,4,4
165,5,20,10,10,1,C,2.0,3,3
166,146,30,11,9,5,F,0.0,3,0
167,456,9,14,9,4,C,2.0,4,4
168,99,8,6,3,4,C,2.0,4,4
169,368,12,1,12,3,C,2.0,4,4
170,291,44,13,4,2,A,4.0,3,3
171,439,41,15,7,4,F,0.0,4,0
172,168,6,7,11,1,B,3.0,4,4
173,72,31,6,15,2,A,4.0,4,4
174,134,25,4,8,3,C,2.0,3,3
175,155,38,12,10,1,C,2.0,3,3
176,335,24,12,4,1,B,3.0,3,3
177,239,20,3,7,5,C,2.0,3,3
178,354,8,11,15,3,D,1.0,4,4
179,315,15,4,3,4,B,3.0,3,3
180,233,48,10,6,4,F,0.0,4,0
181,468,31,13,9,2,B,3.0,4,4
182,349,49,10,14,1,F,0.0,4,0
183,229,34,12,6,1,A,4.0,4,4
184,58,4,14,9,5,B,3.0,3,3
185,294,35,3,3,3,F,0.0,3,0
186,227,8,11,4,5,F,0.0,4,0
187,47,33,8,13,1,F,0.0,3,0
188,68,33,7,8,5,B,3.0,3,3
189,287,30,11,13,3,A,4.0,3,3
190,203,17,14,1,2,A,4.0,4,4
191,38,3,7,6,1,F,0.0,4,0
192,31,5,15,8,1,C,2.0,3,3
193,210,12,13,3,4,D,1.0,4,4
194,457,25,8,14,4,D,1.0,3,3
195,42,44,11,14,5,B,3.0,3,3
196,335,23,2,3,5,D,1.0,3,3
197,271,9,12,4,1,A,4.0,4,4
198,153,30,11,12,5,F,0.0,3,0
199,273,25,14,4,2,F,0.0,3,0
200,178,10,5,4,1,B,3.0,4,4
201,415,43,7,10,1,B,3.0,4,4
202,106,5,2,10,1,F,0.0,3,0
203,307,44,12,14,1,B,3.0,3,3
204,380,3,7,8,2,F,0.0,4,0
205,112,49,14,13,1,B,3.0,4,4
206,258,19,4,14,5,C,2.0,3,3
207,296,39,13,11,3,B,3.0,4,4
208,155,10,11,9,2,F,0.0,4,0
209,154,18,1,9,5,B,3.0,3,3
210,321,44,7,9,4,B,3.0,3,3
211,498,23,11,11,4,F,0.0,3,0
212,164,45,7,7,2,C,2.0,3,3
213,193,12,13,9,4,B,3.0,4,4
214,435,15,5,14,2,F,0.0,3,0
215,469,4,9,7,4,F,0.0,3,0
216,272,9,7,4,3,B,3.0,4,4
217,170,42,2,15,4,D,1.0,3,3
218,48,35,12,14,2,B,3.0,3,3
219,138,25,11,10,5,B,3.0,3,3
220,448,5,4,13,5,F,0.0,3,0
221,112,31,4,14,3,C,2.0,4,4
222,490,1,4,15,2,B,3.0,3,3
223,383,49,8,15,2,A,4.0,4,4
224,361,14,7,15,2,F,0.0,4,0
225,165,50,5,7,4,F,0.0,3,0
226,333,23,5,5,3,F,0.0,3,0
227,452,32,8,2,4,C,2.0,4,4
228,469,14,6,6,4,B,3.0,4,4
229,289,15,12,3,1,C,2.0,3,3
230,284,38,10,12,4,C,2.0,3,3
231,79,13,6,4,4,A,4.0,3,3
232,427,16,8,9,3,C,2.0,4,4
233,391,32,12,11,4,F,0.0,4,0
234,87,47,13,6,2,B,3.0,4,4
235,369,35,8,3,5,B,3.0,3,3
236,269,3,14,14,1,B,3.0,4,4
237,392,1,7,3,2,B,3.0,3,3
238,363,10,1,4,5,F,0.0,4,0
239,192,4,10,11,5,F,0.0,3,0
240,338,32,1,1,5,F,0.0,4,0
241,211,1,1,9,3,F,0.0,3,0
242,147,2,9,14,4,B,3.0,3,3
243,55,7,9,3,2,B,3.0,3,3
244,318,34,5,14,3,C,2.0,4,4
245,408,26,2,6,4,F,0.0,4,0
246,290,16,12,4,3,B,3.0,4,4
247,335,42,13,1,1,D,1.0,3,3
248,195,25,9,8,1,A,4.0,3,3
249,360,11,2,8,4,C,2.0,3,3
250,290,7,15,9,1,B,3.0,3,3
251,109,45,15,10,4,C,2.0,3,3
252,24,5,11,15,3,F,0.0,3,0
253,289,43,1,3,3,A,4.0,4,4
254,493,14,10,3,4,B,3.0,4,4
255,154,11,10,4,5,D,1.0,3,3
256,347,35,6,7,2,B,3.0,3,3
257,257,48,6,1,1,F,0.0,4,0
258,119,5,6,10,5,A,4.0,3,3
259,204,50,6,1,3,F,0.0,3,0
260,252,15,6,9,4,F,0.0,3,0
261,96,44,10,11,4,B,3.0,3,3
262,396,40,5,13,2,B,3.0,4,4
263,43,18,3,7,2,D,1.0,3,3
264,163,24,2,2,1,C,2.0,3,3
265,228,24,13,5,1,B,3.0,3,3
266,45,12,7,8,5,F,0.0,4,0
267,263,27,2,1,1,D,1.0,4,4
268,284,6,10,10,3,D,1.0,4,4
269,7,19,7,7,1,F,0.0,3,0
270,464,16,10,9,2,D,1.0,4,4
271,87,9,5,5,3,F,0.0,4,0
272,75,5,3,7,3,F,0.0,3,0
273,154,31,13,2,3,C,2.0,4,4
274,484,16,12,11,4,A,4.0,4,4
275,316,13,8,2,2,C,2.0,3,3
276,4,26,6,14,5,D,1.0,4,4
277,412,22,8,6,4,A,4.0,4,4
278,70,20,6,10,2,F,0.0,3,0
279,161,12,7,6,3,F,0.0,4,0
280,496,37,13,4,3,D,1.0,3,3
281,144,26,6,2,5,B,3.0,4,4
282,304,35,3,11,5,A,4.0,3,3
283,488,47,8,12,2,F,0.0,4,0
284,409,19,14,12,1,F,0.0,3,0
285,345,32,3,11,3,B,3.0,4,4
286,130,43,3,12,4,D,1.0,4,4
287,38,29,10,8,5,D,1.0,4,4
288,274,33,15,15,4,F,0.0,3,0
289,19,24,12,15,5,A,4.0,3,3
290,327,6,2,13,2,D,1.0,4,4
291,86,42,10,1,5,D,1.0,3,3
292,496,49,6,13,4,B,3.0,4,4
293,6,7,5,4,5,F,0.0,3,0
294,286,38,12,10,2,F,0.0,3,0
295,192,26,8,13,5,F,0.0,4,0
296,78,23,1,8,1,C,2.0,3,3
297,213,6,2,14,2,D,1.0,4,4
298,160,22,8,13,2,F,0.0,4,0
299,248,23,8,2,4,F,0.0,3,0
300,164,5,5,1,1,A,4.0,3,3
301,435,22,11,2,2,B,3.0,4,4
302,265,12,9,3,3,F,0.0,4,0
303,219,30,4,13,4,B,3.0,3,3
304,96,41,11,7,4,A,4.0,4,4
305,378,40,15,4,4,A,4.0,4,4
306,220,25,1,12,2,B,3.0,3,3
307,143,49,12,13,1,A,4.0,4,4
308,53,35,3,6,3,B,3.0,3,3
309,235,8,5,11,4,F,0.0,4,0
310,495,41,6,10,4,A,4.0,4,4
311,201,38,2,6,3,F,0.0,3,0
312,317,12,14,11,3,A,4.0,4,4
313,303,6,11,3,3,B,3.0,4,4
314,123,20,2,3,3,B,3.0,3,3
315,262,25,7,10,2,A,4.0,3,3
316,197,28,3,8,5,B,3.0,4,4
317,285,11,8,5,2,B,3.0,3,3
318,162,29,10,1,3,A,4.0,4,4
319,249,9,4,14,4,F,0.0,4,0
320,259,42,8,7,4,F,0.0,3,0
321,364,29,8,3,1,A,4.0,4,4
322,16,49,4,5,1,C,2.0,4,4
323,116,35,5,3,4,A,4.0,3,3
324,381,50,13,8,5,F,0.0,3,0
325,58,37,2,5,5,D,1.0,3,3
326,278,49,1,13,4,F,0.0,4,0
327,112,28,2,12,2,C,2.0,4,4
328,448,3,8,5,3,B,3.0,4,4
329,225,8,13,13,2,B,3.0,4,4
330,416,48,10,12,3,A,4.0,4,4
331,324,28,3,10,2,B,3.0,4,4
332,417,14,13,1,5,D,1.0,4,4
333,273,18,10,9,2,C,2.0,3,3
334,361,19,5,10,3,F,0.0,3,0
335,461,44,14,2,2,F,0.0,3,0
336,471,4,5,14,2,B,3.0,3,3
337,128,10,12,6,2,D,1.0,4,4
338,251,10,10,11,3,F,0.0,4,0
339,193,29,2,11,1,D,1.0,4,4
340,264,48,5,12,3,F,0.0,4,0
341,487,32,6,10,1,B,3.0,4,4
342,375,30,11,11,3,B,3.0,3,3
343,408,35,7,4,4,B,3.0,3,3
344,254,18,6,14,3,C,2.0,3,3
345,281,37,3,10,4,C,2.0,3,3
346,458,44,13,1,1,B,3.0,3,3
347,321,30,1,2,2,F,0.0,3,0
348,234,1,7,4,2,C,2.0,3,3
349,82,18,2,11,3,C,2.0,3,3
350,43,24,11,15,2,B,3.0,3,3
351,203,41,5,12,2,F,0.0,4,0
352,336,6,12,2,1,B,3.0,4,4
353,245,5,3,10,2,F,0.0,3,0
354,349,29,1,1,3,B,3.0,4,4
355,441,28,12,3,4,B,3.0,4,4
356,118,25,2,12,1,B,3.0,3,3
357,161,24,15,5,2,D,1.0,3,3
358,397,49,14,3,2,B,3.0,4,4
359,272,37,1,10,2,F,0.0,3,0
360,180,47,4,11,2,F,0.0,4,0
361,316,44,8,14,2,B,3.0,3,3
362,460,7,3,13,1,A,4.0,3,3
363,374,25,6,7,3,B,3.0,3,3
364,127,18,11,2,2,F,0.0,3,0
365,308,39,12,10,3,A,4.0,4,4
366,435,43,15,5,2,F,0.0,4,0
367,311,33,4,12,4,C,2.0,3,3
368,331,4,13,15,2,F,0.0,3,0
369,198,8,4,8,5,B,3.0,4,4
370,271,1,6,15,3,B,3.0,3,3
371,199,37,7,6,5,B,3.0,3,3
372,391,31,13,2,1,A,4.0,4,4
373,35,1,5,4,1,B,3.0,3,3
374,486,26,9,5,5,F,0.0,4,0
375,217,45,7,2,5,F,0.0,3,0
376,316,10,5,2,3,B,3.0,4,4
377,262,14,13,3,5,C,2.0,4,4
378,201,38,11,13,1,C,2.0,3,3
379,358,28,12,14,2,B,3.0,4,4
380,126,6,15,7,1,F,0.0,4,0
381,314,39,1,5,2,B,3.0,4,4
382,7,46,3,12,1,B,3.0,3,3
383,255,23,9,9,3,B,3.0,3,3
384,191,9,12,13,3,B,3.0,4,4
385,395,2,6,13,4,C,2.0,3,3
386,269,5,5,12,5,B,3.0,3,3
387,255,30,9,6,1,F,0.0,3,0
388,440,37,3,6,2,C,2.0,3,3
389,396,7,15,10,1,B,3.0,3,3
390,380,33,1,1,1,B,3.0,3,3
391,24,31,6,7,2,B,3.0,4,4
392,477,3,9,13,4,B,3.0,4,4
393,165,16,7,15,3,C,2.0,4,4
394,423,5,10,6,1,F,0.0,3,0
395,345,4,3,4,5,B,3.0,3,3
396,489,26,2,15,4,C,2.0,4,4
397,397,20,6,2,5,F,0.0,3,0
398,5,24,4,5,5,C,2.0,3,3
399,379,40,4,8,3,A,4.0,4,4
400,498,32,13,13,2,F,0.0,4,0
401,390,16,3,1,4,A,4.0,4,4
402,120,35,6,11,1,C,2.0,3,3
403,1,49,11,7,3,B,3.0,4,4
404,106,34,4,7,4,B,3.0,4,4
405,498,10,12,5,1,B,3.0,4,4
406,472,15,15,14,5,F,0.0,3,0
407,359,24,8,12,1,A,4.0,3,3
408,49,33,3,11,4,B,3.0,3,3
409,304,37,1,7,2,B,3.0,3,3
410,150,17,14,6,4,C,2.0,4,4
411,163,29,5,4,1,B,3.0,4,4
412,70,50,13,10,1,B,3.0,3,3
413,55,11,8,8,3,F,0.0,3,0
414,62,35,6,13,2,F,0.0,3,0
415,158,30,5,14,1,B,3.0,3,3
416,81,44,5,14,5,B,3.0,3,3
417,111,21,3,2,2,D,1.0,3,3
418,203,33,1,11,3,C,2.0,3,3
419,420,12,1,7,4,F,0.0,4,0
420,384,36,4,2,4,B,3.0,3,3
421,412,9,2,1,1,B,3.0,4,4
422,67,13,14,7,3,B,3.0,3,3
423,299,38,5,15,1,A,4.0,3,3
424,34,13,15,11,4,B,3.0,3,3
425,48,22,2,1,4,B,3.0,4,4
426,87,37,7,14,4,F,0.0,3,0
427,16,25,11,7,2,D,1.0,3,3
428,110,12,5,5,4,B,3.0,4,4
429,18,40,10,10,2,C,2.0,4,4
430,256,27,15,9,4,B,3.0,4,4
431,45,18,7,3,4,B,3.0,3,3
432,330,34,4,11,5,A,4.0,4,4
433,196,46,6,8,5,F,0.0,3,0
434,177,37,9,6,4,C,2.0,3,3
435,93,2,6,10,2,A,4.0,3,3
436,459,50,5,1,4,F,0.0,3,0
437,184,50,10,4,2,B,3.0,3,3
438,127,43,4,5,5,B,3.0,4,4
439,392,15,10,14,4,D,1.0,3,3
440,479,12,3,4,5,C,2.0,4,4
441,413,48,12,6,5,A,4.0,4,4
442,361,45,6,10,5,B,3.0,3,3
443,289,13,14,13,4,F,0.0,3,0
444,159,12,8,1,1,B,3.0,4,4
445,120,39,4,1,5,F,0.0,4,0
446,1,22,15,10,2,B,3.0,4,4
447,175,46,3,15,3,B,3.0,3,3
448,12,10,10,12,2,B,3.0,4,4
449,434,34,14,6,1,D,1.0,4,4
450,361,43,7,10,1,C,2.0,4,4
451,155,21,3,3,4,F,0.0,3,0
452,333,21,3,12,5,A,4.0,3,3
453,403,23,4,11,5,B,3.0,3,3
454,194,20,12,12,3,B,3.0,3,3
455,91,47,1,12,5,D,1.0,4,4
456,436,50,10,1,2,A,4.0,3,3
457,163,40,4,11,5,B,3.0,4,4
458,480,32,3,6,1,B,3.0,4,4
459,178,21,3,11,1,C,2.0,3,3
460,229,1,5,4,2,B,3.0,3,3
461,180,17,13,2,1,B,3.0,4,4
462,198,29,12,7,2,F,0.0,4,0
463,253,25,6,9,4,B,3.0,3,3
464,425,31,13,14,5,B,3.0,4,4
465,84,29,2,13,1,C,2.0,4,4
466,11,21,5,2,1,C,2.0,3,3
467,88,25,3,12,1,F,0.0,3,0
468,483,6,6,10,5,F,0.0,4,0
469,361,2,7,11,2,A,4.0,3,3
470,456,28,3,1,1,C,2.0,4,4
471,106,13,7,12,5,F,0.0,3,0
472,136,43,5,5,2,B,3.0,4,4
473,26,26,10,9,4,B,3.0,4,4
474,28,24,1,7,1,C,2.0,3,3
475,422,43,11,10,4,B,3.0,4,4
476,50,2,4,3,3,B,3.0,3,3
477,243,8,5,13,4,F,0.0,4,0
478,251,43,5,2,5,D,1.0,4,4
479,95,24,15,7,3,B,3.0,3,3
480,229,3,5,8,4,C,2.0,4,4
481,116,18,10,1,2,B,3.0,3,3
482,44,43,6,13,5,F,0.0,4,0
483,498,49,10,4,5,B,3.0,4,4
484,431,25,14,9,4,F,0.0,3,0
485,352,31,10,15,2,F,0.0,4,0
486,154,6,7,15,1,F,0.0,4,0
487,293,34,13,10,5,B,3.0,4,4
488,62,49,8,3,2,B,3.0,4,4
489,414,13,3,1,4,B,3.0,3,3
490,350,28,4,14,2,A,4.0,4,4
491,133,21,15,12,1,B,3.0,3,3
492,199,36,7,9,3,C,2.0,3,3
493,267,30,15,14,1,A,4.0,3,3
494,301,34,13,7,1,F,0.0,4,0
495,77,10,10,10,5,B,3.0,4,4
496,474,7,10,13,1,C,2.0,3,3
497,445,35,15,6,4,C,2.0,3,3
498,197,42,8,10,5,F,0.0,3,0
499,20,12,5,7,2,A,4.0,4,4
500,312,44,12,7,1,D,1.0,3,3
501,456,22,12,4,1,F,0.0,4,0
502,472,18,15,6,1,C,2.0,3,3
503,419,20,5,5,4,B,3.0,3,3
504,498,15,3,5,4,C,2.0,3,3
505,138,47,7,10,1,B,3.0,4,4
506,227,14,15,14,4,F,0.0,4,0
507,389,34,14,6,1,F,0.0,4,0
508,406,11,2,5,5,D,1.0,3,3
509,70,50,14,9,5,A,4.0,3,3
510,89,13,15,14,2,B,3.0,3,3
511,128,3,8,1,3,B,3.0,4,4
512,141,24,14,8,5,D,1.0,3,3
513,326,8,11,1,2,D,1.0,4,4
514,251,39,8,3,4,A,4.0,4,4
515,283,23,6,3,3,B,3.0,3,3
516,146,2,7,1,2,A,4.0,3,3
517,400,14,14,4,2,B,3.0,4,4
518,138,42,7,9,1,A,4.0,3,3
519,243,9,11,3,5,A,4.0,4,4
520,115,17,10,13,3,C,2.0,4,4
521,217,25,14,6,4,C,2.0,3,3
522,112,30,5,11,5,A,4.0,3,3
523,204,38,2,1,5,D,1.0,3,3
524,288,42,10,10,3,C,2.0,3,3
525,351,7,8,2,3,C,2.0,3,3
526,328,21,14,5,3,C,2.0,3,3
527,97,10,9,13,2,B,3.0,4,4
528,413,39,7,11,3,B,3.0,4,4
529,370,2,11,8,3,C,2.0,3,3
530,465,27,7,7,1,A,4.0,4,4
531,363,37,14,4,3,B,3.0,3,3
532,352,35,11,13,4,D,1.0,3,3
533,260,20,14,3,5,B,3.0,3,3
534,151,7,8,3,3,F,0.0,3,0
535,391,12,11,15,3,B,3.0,4,4
536,114,23,4,12,3,F,0.0,3,0
537,404,22,6,5,5,C,2.0,4,4
538,238,8,8,1,5,A,4.0,4,4
539,484,40,2,8,2,F,0.0,4,0
540,62,44,7,9,3,F,0.0,3,0
541,28,10,3,4,3,F,0.0,4,0
542,292,30,3,6,2,B,3.0,3,3
543,250,22,11,3,3,B,3.0,4,4
544,3,29,5,4,2,A,4.0,4,4
545,392,11,8,13,1,B,3.0,3,3
546,315,28,11,7,4,F,0.0,4,0
547,495,31,7,1,1,F,0.0,4,0
548,103,47,6,1,3,F,0.0,4,0
549,98,2,11,1,2,B,3.0,3,3
550,356,23,5,3,1,D,1.0,3,3
551,258,38,5,3,1,B,3.0,3,3
552,153,19,8,12,5,A,4.0,3,3
553,269,22,7,15,2,C,2.0,4,4
554,462,32,6,13,2,B,3.0,4,4
555,486,26,1,4,2,B,3.0,4,4
556,109,47,1,10,5,B,3.0,4,4
557,64,24,12,11,1,D,1.0,3,3
558,449,41,5,13,5,A,4.0,4,4
559,25,39,1,11,1,A,4.0,4,4
560,25,45,2,7,4,D,1.0,3,3
561,64,36,5,8,2,B,3.0,3,3
562,356,44,11,1,3,F,0.0,3,0
563,339,7,11,9,3,A,4.0,3,3
564,311,45,3,7,1,F,0.0,3,0
565,369,40,2,5,1,B,3.0,4,4
566,255,13,10,4,3,F,0.0,3,0
567,499,13,6,12,4,C,2.0,3,3
568,83,3,9,8,2,F,0.0,4,0
569,170,16,1,1,1,B,3.0,4,4
570,428,37,11,8,2,B,3.0,3,3
571,400,33,2,12,1,C,2.0,3,3
572,330,15,8,5,3,F,0.0,3,0
573,26,7,14,3,1,C,2.0,3,3
574,185,44,6,7,1,B,3.0,3,3
575,436,49,15,1,1,B,3.0,4,4
576,340,42,3,6,3,F,0.0,3,0
577,490,40,5,15,1,D,1.0,4,4
578,418,22,3,2,4,D,1.0,4,4
579,493,30,5,14,4,F,0.0,3,0
580,410,27,11,15,2,B,3.0,4,4
581,68,45,12,1,2,B,3.0,3,3
582,214,38,8,13,5,F,0.0,3,0
583,93,40,7,13,3,A,4.0,4,4
584,15,44,15,14,2,F,0.0,3,0
585,472,32,2,15,4,F,0.0,4,0
586,24,5,5,11,3,A,4.0,3,3
587,361,44,9,13,5,A,4.0,3,3
588,115,43,14,6,5,F,0.0,4,0
589,353,45,10,2,4,B,3.0,3,3
590,247,23,11,11,4,B,3.0,3,3
591,430,36,15,10,1,A,4.0,3,3
592,330,11,9,14,4,F,0.0,3,0
593,446,11,2,13,4,C,2.0,3,3
594,124,22,5,1,5,B,3.0,4,4
595,282,42,7,7,2,B,3.0,3,3
596,236,29,13,10,4,B,3.0,4,4
597,439,32,8,6,1,F,0.0,4,0
598,382,42,1,2,4,F,0.0,3,0
599,19,36,9,1,1,A,4.0,3,3
600,494,40,11,5,5,F,0.0,4,0
601,106,42,11,8,3,D,1.0,3,3
602,423,4,14,4,4,C,2.0,3,3
603,287,50,10,10,4,D,1.0,3,3
604,367,29,2,2,2,A,4.0,4,4
605,175,23,14,11,3,F,0.0,3,0
606,268,24,12,2,1,B,3.0,3,3
607,253,9,14,12,4,B,3.0,4,4
608,131,40,4,4,1,D,1.0,4,4
609,111,30,14,13,2,C,2.0,3,3
610,56,49,7,1,5,B,3.0,4,4
611,396,29,8,11,5,F,0.0,4,0
612,69,32,1,9,1,F,0.0,4,0
613,479,28,14,10,4,F,0.0,4,0
614,400,12,12,10,2,B,3.0,4,4
615,54,25,11,10,5,C,2.0,3,3
616,259,25,7,10,2,C,2.0,3,3
617,204,22,5,8,2,B,3.0,4,4
618,212,39,12,15,5,C,2.0,4,4
619,432,45,9,14,3,F,0.0,3,0
620,324,14,4,4,5,C,2.0,4,4
621,352,23,15,11,2,B,3.0,3,3
622,258,35,12,11,3,B,3.0,3,3
623,390,23,9,8,5,A,4.0,3,3
624,483,43,12,7,5,C,2.0,4,4
625,450,28,13,1,5,B,3.0,4,4
626,13,25,3,1,1,B,3.0,3,3
627,137,49,13,3,3,C,2.0,4,4
628,75,4,12,13,3,B,3.0,3,3
629,386,35,1,6,4,B,3.0,3,3
630,316,44,12,9,2,F,0.0,3,0
631,200,16,9,13,3,B,3.0,4,4
